languageID,Language
1,English
2,French
3,Spanish
4,Russian
5,German
6,Mandarin
7,Dutch
8,Cantonese
9,Latin
10,Algonquin
11,Hungarian
12,Albanian
13,Italian
14,Hebrew
15,Korean
16,American Sign Language
17,Persian
18,Danish
19,Scottish Gaelic
20,Hawaiian
21,Japanese
22,Hindi
23,Sicilian
24,Arabic
25,Yiddish
26,Bengali
27,Polish
28,Serbo-Croatian
29,Croatian
30,Mongolian
31,Romanian
32,Malay
33,Indonesian
34,Sioux
35,Macedonian
36,Swedish
37,Cornish
38,Vietnamese
39,Swahili
40,Navajo
41,Maori
42,Irish
43,Norwegian
44,Egyptian (Ancient)
45,Klingon
46,Filipino
47,British Sign Language
48,Xhosa
49,Zulu
50,Esperanto
51,Finnish
52,Portuguese
53,Panjabi
54,Pawnee
55,Greek
56,Catalan
57,Czech
58,Icelandic
59,Afrikaans
60,Serbian
61,Karajá
62,Flemish
63,Cree
64,Wolof
65,More
66,Tagalog
67,Welsh
68,Thai
69,Latvian
70,Bulgarian
71,Inuktitut
72,Chinese
73,Turkish
74,Nepali
75,None
76,Khmer
77,Mohawk
78,Aboriginal
79,Ukrainian
80,Slovak
81,Georgian
82,Chechen
83,Bosnian
84,Tibetan
85,Mende
86,Syriac
87,Assyrian Neo-Aramaic
88,German Sign Language
89,Polynesian
90,Kurdish
91,Scots
92,Sinhalese
93,Sindarin
94,Ungwatsi
95,Neapolitan
96,Assamese
97,Tok Pisin
98,Washoe
99,Guarani
100,Norse, Old
101,Aramaic
102,Romany
103,Crow
104,Tamil
105,Papiamento
106,Basque
107,Azerbaijani
108,Maltese
109,Urdu
110,Creoles and pidgins
111,Gallegan
112,Lao
113,Greek, Ancient (to 1453)
114,Dari
115,Pushto
116,Luxembourgish
117,Shanghainese
118,Scanian
119,Min Nan
120,Hokkien
121,Lingala
122,Bambara
123,Spanish Sign Language
124,Greek, Ancient (to 1453)
125,French Sign Language
126,Somali
127,Middle English
128,Eastern Frisian
129,Ryukyuan
130,Marshallese
131,Hopi
132,Armenian
133,E-mail
134,Occitan
135,Old English
136,Berber languages
137,Tonga
138,Quechua
139,Hakka
140,Saami
141,Malinka
142,Gujarati
143,Awadhi
144,Swiss German
145,Belarusian
146,Amharic
147,Apache languages
148,Greek, Ancient (to 1453)
149,Quenya
150,Lithuanian
151,Tuvinian
152,Brazilian Sign Language
153,Tajik
154,Uzbek
155,Ladakhi
156,Arapaho
157,Cheyenne
158,Mapudungun
159,Tatar
160,Maya
161,Ewe
162,Rajasthani
163,Nahuatl
164,Tzotzil
165,Kuna
166,Telugu
167,Athapascan languages
168,Korean Sign Language
169,Corsican
170,Dinka
171,Sanskrit
172,Dzongkha
173,Estonian
174,Kinyarwanda
175,Japanese Sign Language
176,Shanxi
177,Kirundi
178,Kazakh
179,Fur
180,Burmese
181,Acholi
182,Low German
183,Hmong
184,Frisian
185,Turkmen
186,Norse, Old
187,Haitian
188,Malayalam
189,Slovenian
190,Nyanja
191,Southern Sotho
192,Sardinian
193,Fulah
194,Kabuverdianu
195,Greek, Ancient (to 1453)
196,Nenets
197,Marathi
198,Bhojpuri
199,Tswana
200,Sign Languages
201,Tupi
202,Indian Sign Language
203,North American Indian
204,Uighur
205,Yoruba
206,Ibo
207,Tarahumara
208,Aymara
209,Kabyle
210,Shoshoni
211,Tulu
212,Hassanya
213,Balinese
214,Creole
215,Masai
216,Kirghiz
217,Bable
218,Shona
219,Greenlandic
220,Minangkabau
221,Ladino
222,Manipuri
223,Mari
224,Dyula
225,Peul
226,Abkhazian
227,Kannada
228,Nyaneka
229,Songhay
230,Tamashek
